iev	time	count	locflow_time	diff	var	phase_type
148	2022-04-28 06:28:22.112294400+00:00	34	2022-04-28 06:28:38.622000+00:00	16.509706	0.0009180926916221203	P
148	2022-04-28 06:28:24.048486400+00:00	37	2022-04-28 06:28:38.622000+00:00	14.573514	0.0001956456456456406	S
148	2022-04-28 06:28:41.348549632+00:00	626	2022-04-28 06:28:38.622000+00:00	-2.726549	0.012646955143769961	P
148	2022-04-28 06:28:42.657780736+00:00	666	2022-04-28 06:28:38.622000+00:00	-4.03578	0.003385329314276684	S
149	2022-04-28 07:14:59.534991616+00:00	585	2022-04-28 07:14:56.582000+00:00	-2.952991	0.012233330406275607	P
149	2022-04-28 07:15:00.812460288+00:00	630	2022-04-28 07:14:56.582000+00:00	-4.23046	0.0032387384863855418	S
150	2022-04-28 07:59:29.949699584+00:00	413	2022-04-28 07:59:27.602000+00:00	-2.347699	0.003393482451397543	P
150	2022-04-28 07:59:30.042421760+00:00	237	2022-04-28 07:59:27.602000+00:00	-2.440421	0.004770160194521919	P
150	2022-04-28 07:59:31.207252736+00:00	653	2022-04-28 07:59:27.602000+00:00	-3.605252	0.004323440656150475	S
151	2022-04-28 13:35:18.768024064+00:00	830	2022-04-28 13:35:13.123000+00:00	-5.645024	0.0033589258360341243	P
151	2022-04-28 13:35:19.113476352+00:00	42	2022-04-28 13:35:13.123000+00:00	-5.990476	0.002760743321718926	P
151	2022-04-28 13:35:21.852945408+00:00	735	2022-04-28 13:35:13.123000+00:00	-8.729945	0.006142231366661086	S
151	2022-04-28 13:35:22.066175744+00:00	148	2022-04-28 13:35:13.123000+00:00	-8.943175	0.005374200220628774	S
152	2022-04-28 14:32:34.441419776+00:00	31	2022-04-28 14:32:30.004000+00:00	-4.437419	0.007939784946236563	P
152	2022-04-28 14:32:34.510363648+00:00	66	2022-04-28 14:32:30.004000+00:00	-4.506363	0.005171188811188808	S
153	2022-04-28 14:35:14.915063552+00:00	536	2022-04-28 14:35:11.784000+00:00	-3.131063	0.003486156716417914	P
153	2022-04-28 14:35:15.145420800+00:00	183	2022-04-28 14:35:11.784000+00:00	-3.36142	0.03013313517084009	P
153	2022-04-28 14:35:16.276612864+00:00	731	2022-04-28 14:35:11.784000+00:00	-4.492612	0.004722341697430799	S
154	2022-04-28 16:34:37.510041344+00:00	533	2022-04-28 16:34:31.584000+00:00	-5.926041	0.01409538927054974	P
154	2022-04-28 16:34:39.410666752+00:00	42	2022-04-28 16:34:31.584000+00:00	-7.826666	0.051773983739837375	P
154	2022-04-28 16:34:40.468128+00:00	625	2022-04-28 16:34:31.584000+00:00	-8.884128	0.011203445128205135	S
156	2022-04-30 03:06:17.458793984+00:00	476	2022-04-30 03:06:13.421000+00:00	-4.037793	0.008967965944272446	P
156	2022-04-30 03:06:18.832904960+00:00	504	2022-04-30 03:06:13.421000+00:00	-5.411904	0.004443680772507817	S
157	2022-04-30 03:06:47.820761856+00:00	42	2022-04-30 03:06:43.561000+00:00	-4.259761	0.03632921022067364	P
157	2022-04-30 03:06:48.403500032+00:00	72	2022-04-30 03:06:43.561000+00:00	-4.8425	0.03787816901408454	P
157	2022-04-30 03:06:49.285178112+00:00	146	2022-04-30 03:06:43.561000+00:00	-5.724178	0.007554147378365604	S
158	2022-04-30 03:11:08.664469504+00:00	49	2022-04-30 03:11:03.961000+00:00	-4.703469	0.10779812925170072	P
158	2022-04-30 03:11:09.716600064+00:00	75	2022-04-30 03:11:03.961000+00:00	-5.7556	0.0032195675675675585	S
159	2022-04-30 03:18:53.527451648+00:00	31	2022-04-30 03:18:48.881000+00:00	-4.646451	0.06846365591397847	P
159	2022-04-30 03:18:54.622095872+00:00	73	2022-04-30 03:18:48.881000+00:00	-5.741095	0.0074348934550989305	S
160	2022-04-30 05:45:07.480340224+00:00	197	2022-04-30 05:45:02.581000+00:00	-4.89934	0.03544088884284678	P
160	2022-04-30 05:45:08.503231744+00:00	242	2022-04-30 05:45:02.581000+00:00	-5.922231	0.007522801001337401	S
161	2022-04-30 05:45:06.698959360+00:00	49	2022-04-30 05:45:13.101000+00:00	6.402041	0.054083248299319715	P
161	2022-04-30 05:45:07.416931584+00:00	263	2022-04-30 05:45:13.101000+00:00	5.684069	0.055485293007865796	P
161	2022-04-30 05:45:08.381990656+00:00	111	2022-04-30 05:45:13.101000+00:00	4.71901	0.012207190827190803	P
161	2022-04-30 05:45:08.484009472+00:00	422	2022-04-30 05:45:13.101000+00:00	4.616991	0.005556479719917597	S
162	2022-04-30 05:58:00.352735488+00:00	68	2022-04-30 05:57:55.342000+00:00	-5.010735	0.0076039288849868185	P
162	2022-04-30 05:58:01.256961024+00:00	129	2022-04-30 05:57:55.342000+00:00	-5.914961	0.010537693798449613	S
163	2022-04-30 07:44:28.808825600+00:00	63	2022-04-30 07:44:27.282000+00:00	-1.526825	0.007370404505888381	P
163	2022-04-30 07:44:31.778716160+00:00	67	2022-04-30 07:44:27.282000+00:00	-4.496716	0.004879963817277242	P
163	2022-04-30 07:44:32.247944960+00:00	180	2022-04-30 07:44:27.282000+00:00	-4.965944	0.0030354158907510975	P
